url,source,product_name,brand,ingredients,hazards_and_cautions,product_details,country_of_origin,how_to_use,ingredients_count,ingredients_list,scrape_timestamp
https://www.boots.com/naturium-multi-peptide-moisturizer-50g-10352827#BVRRContainer,Boots,NATURIUM Multi Peptide Moisturizer 50g - Boots,NATURIUM Multi Peptide Moisturizer 50g,,,,,,,,
https://www.boots.com/dove-original-beauty-bar-90g-x-2-10309020#BVRRContainer,Boots,"Dove Original Beauty Bar Soap for Softer, Smoother, Healthier-Looking Skin 2 x 90 g - Boots","Dove Original Beauty Bar Soap for Softer, Smoother, Healthier",,,,,,,,
https://www.boots.com/neutrogena-refreshingly-clear-facial-wash-10108365#BVRRContainer,Boots,Neutrogena Refreshingly Clear Facial Wash 200ml - Boots,Neutrogena Refreshingly Clear Facial Wash 200ml,"Ingredients Aqua, Glycerin, Sodium Laureth Sulfate, Lauryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrus Grandis Fruit Extract, Propylene Glycol, Sodium Benzotriazolyl Butylphenol Sulfonate, Disodium EDTA, Citric Acid, Sodium Hydroxide, Sodium Ascorbyl Phosphate, Sodium Benzoate, Parfum, CI 16035, CI 60725. [PR-0000651]",,,,,16.0,"Ingredients Aqua, Glycerin, Sodium Laureth Sulfate, Lauryl Glucoside, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Citrus Grandis Fruit Extract, Propylene Glycol, Sodium Benzotriazolyl Butylphenol Sulfonate, Disodium EDTA, Citric Acid, Sodium Hydroxide, Sodium Ascorbyl Phosphate, Sodium Benzoate, Parfum, CI 16035, CI 60725. [PR-0000651]",
https://www.boots.com/cetraben-moisturising-hand-balm-75ml--10326645#BVRRContainer,Boots,Cetraben Moisturising Hand Balm 75g - Boots,Cetraben Moisturising Hand Balm 75g,"Ingredients Aqua, Urea, Lanolin, Cetearyl Alcohol, Glycerin, Dimethicone, Para‑num Liquidum, Glyceryl Stearate, DecylOleate, PEG-20 Stearate, Phenoxyethanol, SodiumPCA, Butyrospermum Parkii Butter, Panthenol, Tocopheryl Acetate, Benzyl Alcohol, BHT, Parfum.",,,,,18.0,"Ingredients Aqua, Urea, Lanolin, Cetearyl Alcohol, Glycerin, Dimethicone, Para‑num Liquidum, Glyceryl Stearate, DecylOleate, PEG-20 Stearate, Phenoxyethanol, SodiumPCA, Butyrospermum Parkii Butter, Panthenol, Tocopheryl Acetate, Benzyl Alcohol, BHT, Parfum.",
https://www.boots.com/origins-clear-improvement-active-charcoal-mask-to-clear-pores-10259769#BVRRContainer,Boots,Origins Clear Improvement Charcoal Face Mask 75ml - Boots,Origins Clear Improvement Charcoal Face Mask 75ml,Charcoal.,,,,,1.0,Charcoal.,
https://www.boots.com/vichy-min%C3%89ral-89-probiotic-fractions-recovery-serum-for-stressed-skin-30ml-10297029#BVRRContainer,Boots,Vichy Minéral 89 Probiotic Fractions Recovery Serum for Stressed Skin 30ml - Boots,Vichy Minéral 89 Probiotic Fractions Recovery Serum for Stressed Skin 30ml,,,,,,,,
https://www.boots.com/fenty-skin-total-cleansr-remove-it-all-cleanser-45ml-10294791#BVRRContainer,Boots,Fenty Skin Total Cleans'R Remove-It-All Cleanser 45ml - Boots,Fenty Skin Total Cleans'R Remove,,,,,,,,
https://www.boots.com/elemis-pro-collagen-marine-cream-spf-30-15ml-10326452#BVRRContainer,Boots,ELEMIS Pro-Collagen Marine Cream SPF 30 15ml - Boots,ELEMIS Pro,"Aqua/Water/Eau, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Isononyl Isononanoate, Dicaprylyl Carbonate, Dimethicone, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Phenoxyethanol, Polyacrylate-13, Butylene Glycol, Cetyl Alcohol, Hydroxyacetophenone, Octocrylene, Stearic Acid, Tocopheryl Acetate, Coco-Caprylate, Xanthan Gum, Chlorphenesin, Polyisobutene, Fragrance (Parfum), Disodium EDTA, Lecithin, Tocopherol, Butyrospermum Parkii (Shea) Butter, Citric Acid, Daucus Carota Sativa (Carrot) Root Extract, Triticum Vulgare (Wheat) Germ Oil, Chlorella Vulgaris Extract, Glyceryl Polyacrylate, Glyceryl Acrylate/Acrylic Acid Copolymer, Padina Pavonica Thallus Extract, Sodium Dehydroacetate, Polysorbate 20, Sorbitan Isostearate, Ginkgo Biloba Leaf Extract, Porphyridium Cruentum Extract, Acacia Decurrens (Mimosa) Flower Extract, Rosa Centifolia (Rose) Flower Extract, Linalool, Citronellol, Sodium Benzoate, Geraniol, Limonene, Potassium Sorbate.",,,,,46.0,"Aqua/Water/Eau, Glycerin, Caprylic/Capric Triglyceride, Glyceryl Stearate SE, Isononyl Isononanoate, Dicaprylyl Carbonate, Dimethicone, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Phenoxyethanol, Polyacrylate-13, Butylene Glycol, Cetyl Alcohol, Hydroxyacetophenone, Octocrylene, Stearic Acid, Tocopheryl Acetate, Coco-Caprylate, Xanthan Gum, Chlorphenesin, Polyisobutene, Fragrance (Parfum), Disodium EDTA, Lecithin, Tocopherol, Butyrospermum Parkii (Shea) Butter, Citric Acid, Daucus Carota Sativa (Carrot) Root Extract, Triticum Vulgare (Wheat) Germ Oil, Chlorella Vulgaris Extract, Glyceryl Polyacrylate, Glyceryl Acrylate/Acrylic Acid Copolymer, Padina Pavonica Thallus Extract, Sodium Dehydroacetate, Polysorbate 20, Sorbitan Isostearate, Ginkgo Biloba Leaf Extract, Porphyridium Cruentum Extract, Acacia Decurrens (Mimosa) Flower Extract, Rosa Centifolia (Rose) Flower Extract, Linalool, Citronellol, Sodium Benzoate, Geraniol, Limonene, Potassium Sorbate.",
https://www.boots.com/bubble-day-dream-vitamin-c-and-niacinamide-serum-30ml-10339445#BVRRContainer,Boots,Bubble Day Dream Vitamin C + Niacinamide Serum 30ml - Boots,Bubble Day Dream Vitamin C + Niacinamide Serum 30ml,,,,,,,,
https://www.boots.com/liz-earle-instant-brightening-eye-cream-10273591#BVRRContainer,Boots,Liz Earle Instant Brightening Eye Cream 15ml - Boots,Liz Earle Instant Brightening Eye Cream 15ml,,,,,,,,
